Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr16:67089586-67090086,chr16,67089586,67090086,4.92853E-15,NOL3,1,orangered3
chr2:220852491-220852991,chr2,220852491,220852991,5.05863E-15,"GMPPA, CHPF, OBSL1",3,orangered3
chr22:27852751-27853251,chr22,27852751,27853251,5.25677E-15,LINC01638,1,orangered3
chr9:117770768-117771268,chr9,117770768,117771268,5.34512E-15,TNC,1,orangered3
chr22:40895126-40895626,chr22,40895126,40895626,5.36541E-15,MCHR1,1,orangered3
chr16:89785609-89786109,chr16,89785609,89786109,5.38455E-15,ZNF276,1,orangered3
chr7:106358606-106359106,chr7,106358606,106359106,5.67092E-15,"NAMPT, CCDC71L",2,orangered3
chr7:46803659-46804159,chr7,46803659,46804159,6.07831E-15,LOC730338,1,orangered3
chr11:43942184-43942684,chr11,43942184,43942684,6.20367E-15,ALKBH3-AS1,1,orangered3
chr13:49465651-49466151,chr13,49465651,49466151,6.4348E-15,FNDC3A,1,orangered3
chr14:90885458-90885958,chr14,90885458,90885958,6.60394E-15,PSMC1,1,orangered3
chr17:39560175-39560675,chr17,39560175,39560675,6.63901E-15,FKBP10,1,orangered3
chr3:172073460-172073960,chr3,172073460,172073960,6.70551E-15,FNDC3B,1,orangered3
chr1:59220988-59221488,chr1,59220988,59221488,6.87923E-15,JUN,1,orangered3
chr2:235111885-235112385,chr2,235111885,235112385,6.89892E-15,ARL4C,1,orangered3
chr7:94249956-94250456,chr7,94249956,94250456,8.02666E-15,PEG10,1,orangered3
chr19:3969299-3969799,chr19,3969299,3969799,8.03366E-15,"TBXA2R, DAPK3",2,orangered3
chr2:28612970-28613470,chr2,28612970,28613470,8.09832E-15,"FOSL2, PPP1CB",2,orangered3
chr1:41961824-41962324,chr1,41961824,41962324,9.37513E-15,HIVEP3,1,orangered3
chr8:22949780-22950280,chr8,22949780,22950280,9.43718E-15,"TNFRSF10B, LOXL2",2,orangered3
chr19:35896065-35896565,chr19,35896065,35896565,1.07355E-14,LINC01531,1,orangered3
chr8:29370763-29371263,chr8,29370763,29371263,1.08804E-14,DUSP4,1,orangered3
chr12:121714763-121715263,chr12,121714763,121715263,1.12731E-14,HNF1A,1,orangered3
chr9:117996295-117996795,chr9,117996295,117996795,1.14705E-14,TNC,1,orangered3
chr9:107816707-107817207,chr9,107816707,107817207,1.14788E-14,ABCA1,1,orangered3
chr1:162508625-162509125,chr1,162508625,162509125,1.19455E-14,UHMK1,1,orangered3
chr14:59198105-59198605,chr14,59198105,59198605,1.30643E-14,"TIMM9, KIAA0586",2,orangered3
chr7:92420257-92420757,chr7,92420257,92420757,1.39257E-14,CDK6-AS1,1,orangered3
chr4:188131000-188131500,chr4,188131000,188131500,1.45747E-14,FAT1,1,orangered3
chr14:55855987-55856487,chr14,55855987,55856487,1.47104E-14,"MAPK1IP1L, FBXO34, KTN1-AS1",3,orangered3
chr5:9467957-9468457,chr5,9467957,9468457,1.47953E-14,SEMA5A,1,orangered3
chr9:132672782-132673282,chr9,132672782,132673282,1.53739E-14,GPR107,1,orangered3
chr5:135356009-135356509,chr5,135356009,135356509,1.55096E-14,TGFBI,1,orangered3
chr7:107889196-107889696,chr7,107889196,107889696,1.57087E-14,NRCAM,1,orangered3
chr17:41801276-41801776,chr17,41801276,41801776,1.70223E-14,ETV4,1,orangered3
chr12:6389153-6389653,chr12,6389153,6389653,1.71466E-14,"TNFRSF1A, GAPDH",2,orangered3
chr16:29040595-29041095,chr16,29040595,29041095,1.77303E-14,LOC388242,1,orangered3
chr5:37722918-37723418,chr5,37722918,37723418,1.8606E-14,GDNF,1,orangered3
chr20:48782520-48783020,chr20,48782520,48783020,1.86346E-14,SNAI1,1,orangered3
chr19:2627407-2627907,chr19,2627407,2627907,2.02132E-14,GADD45B,1,orangered3
chr16:21311778-21312278,chr16,21311778,21312278,2.14324E-14,CRYM-AS1,1,orangered3
chr3:161067588-161068088,chr3,161067588,161068088,2.24372E-14,"NMD3, SPTSSB",2,orangered3
chr14:69472353-69472853,chr14,69472353,69472853,2.27575E-14,"ACTN1, DCAF5, ERH, SLC39A9",4,orangered3
chr7:72974289-72974789,chr7,72974289,72974789,2.3077E-14,"TBL2, VPS37D",2,orangered3
chr1:15068580-15069080,chr1,15068580,15069080,2.32952E-14,TMEM51-AS1,1,orangered3
chr3:131622706-131623206,chr3,131622706,131623206,2.39761E-14,CPNE4,1,orangered3
chr19:53686290-53686790,chr19,53686290,53686790,2.39785E-14,"ZNF28, ZNF468, ZNF320, ZNF665",4,orangered3
chr4:124753377-124753877,chr4,124753377,124753877,2.46408E-14,SPRY1,1,orangered3
chr2:46300659-46301159,chr2,46300659,46301159,2.46582E-14,EPAS1,1,orangered3
chr19:8420452-8420952,chr19,8420452,8420952,2.48135E-14,"LRRC8E, SNAPC2, ANGPTL4",3,orangered3
chr17:79013970-79014470,chr17,79013970,79014470,2.56844E-14,BAIAP2,1,orangered3
chr9:128422121-128422621,chr9,128422121,128422621,2.57404E-14,"PPP6C, HSPA5",2,orangered3
chr11:35236340-35236840,chr11,35236340,35236840,2.62606E-14,"CD44, FJX1",2,orangered3
chr14:74765628-74766128,chr14,74765628,74766128,2.82482E-14,ABCD4,1,orangered3
chr19:46571779-46572279,chr19,46571779,46572279,2.8847E-14,"OPA3, QPCTL",2,orangered3
chr2:112078412-112078912,chr2,112078412,112078912,2.9264E-14,MIR4435-2,1,orangered3
chr5:149416029-149416529,chr5,149416029,149416529,2.96107E-14,"PPARGC1B, SLC26A2, HMGXB3",3,orangered3
chr22:30804582-30805082,chr22,30804582,30805082,3.04311E-14,"LOC91370, SLC35E4",2,orangered3
chr22:30606339-30606839,chr22,30606339,30606839,3.39082E-14,"LIF, MTFP1",2,orangered3
chr22:27598640-27599140,chr22,27598640,27599140,3.40954E-14,LINC01638,1,orangered3
chr11:128452739-128453239,chr11,128452739,128453239,3.46035E-14,ETS1,1,orangered3
chr2:85726148-85726648,chr2,85726148,85726648,3.59305E-14,GGCX,1,orangered3
chr15:102045374-102045874,chr15,102045374,102045874,3.61276E-14,CHSY1,1,orangered3
chr7:18548550-18549050,chr7,18548550,18549050,3.63411E-14,HDAC9,1,orangered3
chr7:151200910-151201410,chr7,151200910,151201410,3.63982E-14,CHPF2,1,orangered3
chr18:75329567-75330067,chr18,75329567,75330067,3.8588E-14,GALR1,1,orangered3
chr9:139445730-139446230,chr9,139445730,139446230,4.42461E-14,ENTR1,1,orangered3
chr2:27938316-27938816,chr2,27938316,27938816,4.44892E-14,"LINC01460, LOC105374378",2,orangered3
chr7:104190660-104191160,chr7,104190660,104191160,4.84874E-14,LHFPL3,1,orangered3
chr14:69417666-69418166,chr14,69417666,69418166,5.02545E-14,"ACTN1, DCAF5",2,orangered3
chr17:37365982-37366482,chr17,37365982,37366482,5.12505E-14,"CACNB1, STAC2",2,orangered3
chr8:98531722-98532222,chr8,98531722,98532222,5.26681E-14,LAPTM4B,1,orangered3
chr20:61076834-61077334,chr20,61076834,61077334,5.41539E-14,"LAMA5, GATA5",2,orangered3
chr2:159903506-159904006,chr2,159903506,159904006,5.44532E-14,TANC1,1,orangered3
chr14:75986143-75986643,chr14,75986143,75986643,6.05446E-14,TMED10,1,orangered3
chr22:37921347-37921847,chr22,37921347,37921847,6.05509E-14,"C1QTNF6, LGALS1",2,orangered3
chr14:53169918-53170418,chr14,53169918,53170418,6.06463E-14,"ERO1A, GNPNAT1, FERMT2",3,orangered3
chr19:53685490-53685990,chr19,53685490,53685990,6.24766E-14,"ZNF28, ZNF665",2,orangered3
chr16:70048740-70049240,chr16,70048740,70049240,6.2546E-14,ST3GAL2,1,orangered3
chr7:1572298-1572798,chr7,1572298,1572798,6.31666E-14,MICALL2,1,orangered3
chr16:676794-677294,chr16,676794,677294,6.40439E-14,"RAB11FIP3, METTL26",2,orangered3
chr15:38690286-38690786,chr15,38690286,38690786,6.41248E-14,SPRED1,1,orangered3
chr17:48408678-48409178,chr17,48408678,48409178,6.54147E-14,"COL1A1, ABCC3",2,orangered3
chr14:62028461-62028961,chr14,62028461,62028961,6.57829E-14,HIF1A,1,orangered3
chr1:20390313-20390813,chr1,20390313,20390813,6.86562E-14,MUL1,1,orangered3
chr17:964121-964621,chr17,964121,964621,6.92842E-14,TLCD3A,1,orangered3
chr20:44979019-44979519,chr20,44979019,44979519,7.11711E-14,SLC2A10,1,orangered3
chr2:11327252-11327752,chr2,11327252,11327752,7.14329E-14,KCNF1,1,orangered3
chr9:137540961-137541461,chr9,137540961,137541461,7.14369E-14,COL5A1,1,orangered3
chr19:49482035-49482535,chr19,49482035,49482535,7.22778E-14,"SULT2B1, PPP1R15A, NUCB1, BAX, GYS1, NTF4",6,orangered3
chr19:57765085-57765585,chr19,57765085,57765585,7.25577E-14,"ZNF264, ZNF805, ZNF304, TRAPPC2B, ZNF548, ZNF17, ZNF772, ZNF419, ZNF773, ZNF416, ZNF134, ZNF211, ZNF671",13,orangered3
chr22:30877682-30878182,chr22,30877682,30878182,7.34517E-14,SDC4P,1,orangered3
chr20:49039641-49040141,chr20,49039641,49040141,7.44931E-14,PTPN1,1,orangered3
chr3:195272877-195273377,chr3,195272877,195273377,7.45102E-14,XXYLT1,1,orangered3
chr21:34752778-34753278,chr21,34752778,34753278,7.46265E-14,IFNAR1,1,orangered3
chr22:40592568-40593068,chr22,40592568,40593068,8.06443E-14,MCHR1,1,orangered3
chr15:99440156-99440656,chr15,99440156,99440656,8.64365E-14,TTC23,1,orangered3
chr4:146729359-146729859,chr4,146729359,146729859,8.67592E-14,MMAA,1,orangered3
chr19:44257098-44257598,chr19,44257098,44257598,9.36809E-14,"ZNF576, SMG9, ZNF45",3,orangered3
chr12:45628253-45628753,chr12,45628253,45628753,9.86233E-14,ANO6,1,orangered3
chr12:13359160-13359660,chr12,13359160,13359660,1.02324E-13,"GPRC5A, EMP1",2,orangered3
chr9:117314161-117314661,chr9,117314161,117314661,1.11842E-13,ATP6V1G1,1,orangered3
chr1:20084750-20085250,chr1,20084750,20085250,1.17004E-13,PLA2G2A,1,orangered3
chr1:8456966-8457466,chr1,8456966,8457466,1.19657E-13,ERRFI1,1,orangered3
chr16:134594-135094,chr16,134594,135094,1.20219E-13,"MPG, PGAP6, RAB11FIP3",3,orangered3
chr4:40335906-40336406,chr4,40335906,40336406,1.25145E-13,CHRNA9,1,orangered3
chr17:75838632-75839132,chr17,75838632,75839132,1.32016E-13,LINC01993,1,orangered3
chr6:11653463-11653963,chr6,11653463,11653963,1.35901E-13,NEDD9,1,orangered3
chr17:57920352-57920852,chr17,57920352,57920852,1.45509E-13,VMP1,1,orangered3
chr1:112135339-112135839,chr1,112135339,112135839,1.45543E-13,"CEPT1, KCND3",2,orangered3
chr15:65701590-65702090,chr15,65701590,65702090,1.52858E-13,SPG21,1,orangered3
chr10:64010524-64011024,chr10,64010524,64011024,1.53779E-13,ARID5B,1,orangered3
chr9:128463551-128464051,chr9,128463551,128464051,1.62839E-13,HSPA5,1,orangered3
chr19:32864606-32865106,chr19,32864606,32865106,1.76256E-13,"ZNF507, DPY19L3, NUDT19",3,orangered3
chr17:78866559-78867059,chr17,78866559,78867059,1.78574E-13,"NPTX1, RPTOR, BAIAP2",3,orangered3
chr14:100828750-100829250,chr14,100828750,100829250,1.79018E-13,YY1,1,orangered3
chr7:128706861-128707361,chr7,128706861,128707361,1.8468E-13,"CALU, TNPO3",2,orangered3
chr10:4285803-4286303,chr10,4285803,4286303,1.88941E-13,LINC00702,1,orangered3
chr12:13129270-13129770,chr12,13129270,13129770,1.94293E-13,EMP1,1,orangered3
chr16:31063388-31063888,chr16,31063388,31063888,1.94718E-13,"HSD3B7, VKORC1, TGFB1I1",3,orangered3
chr16:1052732-1053232,chr16,1052732,1053232,1.95936E-13,"WDR24, C16orf91",2,orangered3
chr14:68205787-68206287,chr14,68205787,68206287,1.99032E-13,"EIF2S1, PIGH",2,orangered3
chr17:1617896-1618396,chr17,1617896,1618396,2.16015E-13,MIR22,1,orangered3
chr11:118782505-118783005,chr11,118782505,118783005,2.16506E-13,"ARCN1, HYOU1",2,orangered3
chr7:45963843-45964343,chr7,45963843,45964343,2.19539E-13,IGFBP3,1,orangered3
chr1:67029858-67030358,chr1,67029858,67030358,2.24249E-13,SLC35D1,1,orangered3
chr2:173117885-173118385,chr2,173117885,173118385,2.36008E-13,ITGA6-AS1,1,orangered3
chr9:118378000-118378500,chr9,118378000,118378500,2.38571E-13,TNC,1,orangered3
chr16:14493213-14493713,chr16,14493213,14493713,2.40859E-13,"MRTFB, BFAR",2,orangered3
chr14:52109807-52110307,chr14,52109807,52110307,2.40865E-13,"TMX1, FRMD6, RTRAF",3,orangered3
chr13:80611557-80612057,chr13,80611557,80612057,2.42648E-13,SPRY2,1,orangered3
chr4:40257174-40257674,chr4,40257174,40257674,2.46724E-13,"RHOH, CHRNA9",2,orangered3
chr4:157397479-157397979,chr4,157397479,157397979,2.50709E-13,PDGFC,1,orangered3
chr19:611485-611985,chr19,611485,611985,2.5558E-13,FSTL3,1,orangered3
chr14:52013917-52014417,chr14,52013917,52014417,2.85495E-13,"TRIM9, TMX1, RTRAF",3,orangered3
chr9:130341190-130341690,chr9,130341190,130341690,3.0864E-13,NIBAN2,1,orangered3
chr14:55914780-55915280,chr14,55914780,55915280,3.11314E-13,"MAPK1IP1L, LGALS3",2,orangered3
chr8:8775136-8775636,chr8,8775136,8775636,3.11435E-13,"ERI1, PPP1R3B",2,orangered3
chr6:11432883-11433383,chr6,11432883,11433383,3.15927E-13,NEDD9,1,orangered3
chr8:141607071-141607571,chr8,141607071,141607571,3.21128E-13,AGO2,1,orangered3
chr19:45250595-45251095,chr19,45250595,45251095,3.29051E-13,"BCL3, NECTIN2, RELB, GEMIN7",4,orangered3
chr2:74967782-74968282,chr2,74967782,74968282,3.3415E-13,HK2,1,orangered3
chr16:69019696-69020196,chr16,69019696,69020196,3.35363E-13,CDH3,1,orangered3
chr8:98305971-98306471,chr8,98305971,98306471,3.36221E-13,LAPTM4B,1,orangered3
chr14:73074941-73075441,chr14,73074941,73075441,3.41791E-13,"DPF3, ZFYVE1",2,orangered3
chr1:239524736-239525236,chr1,239524736,239525236,3.44981E-13,CHRM3,1,orangered3
chr7:65512364-65512864,chr7,65512364,65512864,3.56303E-13,TPST1,1,orangered3
chr14:76112412-76112912,chr14,76112412,76112912,3.57569E-13,TMED10,1,orangered3
chr7:29662151-29662651,chr7,29662151,29662651,3.74936E-13,PLEKHA8,1,orangered3
chr14:55239824-55240324,chr14,55239824,55240324,3.76446E-13,"CNIH1, CGRRF1, SAMD4A, MAPK1IP1L, FBXO34",5,orangered3
chr2:157888423-157888923,chr2,157888423,157888923,4.00825E-13,GALNT5,1,orangered3
chr17:45335228-45335728,chr17,45335228,45335728,4.08062E-13,"ITGB3, EFCAB13",2,orangered3
chr9:107665919-107666419,chr9,107665919,107666419,4.08999E-13,ABCA1,1,orangered3
chr2:28621244-28621744,chr2,28621244,28621744,4.19209E-13,FOSL2,1,orangered3
chr22:41107481-41107981,chr22,41107481,41107981,4.4594E-13,MCHR1,1,orangered3
chr2:28618214-28618714,chr2,28618214,28618714,4.51407E-13,FLJ31356,1,orangered3
chr1:23703721-23704221,chr1,23703721,23704221,4.51668E-13,ZNF436,1,orangered3
chr3:98681264-98681764,chr3,98681264,98681764,4.60937E-13,DCBLD2,1,orangered3
chr12:94018728-94019228,chr12,94018728,94019228,4.69982E-13,NUDT4,1,orangered3
chr15:90364419-90364919,chr15,90364419,90364919,4.7136E-13,SEMA4B,1,orangered3
chr4:2864209-2864709,chr4,2864209,2864709,4.79519E-13,"RNF4, SH3BP2",2,orangered3
chr10:95228229-95228729,chr10,95228229,95228729,4.81298E-13,MYOF,1,orangered3
chr2:87749047-87749547,chr2,87749047,87749547,4.99455E-13,CYTOR,1,orangered3
chr20:52543104-52543604,chr20,52543104,52543604,5.01857E-13,ZNF217,1,orangered3
chr9:116939936-116940436,chr9,116939936,116940436,5.12563E-13,COL27A1,1,orangered3
chr14:94152567-94153067,chr14,94152567,94153067,5.17261E-13,"BTBD7, OTUB2, DDX24, IFI27L1",4,orangered3
chr17:43448955-43449455,chr17,43448955,43449455,5.1781E-13,C1QL1,1,orangered3
chr9:124454839-124455339,chr9,124454839,124455339,5.47917E-13,RAB14,1,orangered3
chr17:79961495-79961995,chr17,79961495,79961995,5.50517E-13,"FSCN2, P4HB, ARHGDIA, SLC16A3",4,orangered3
chr22:42575565-42576065,chr22,42575565,42576065,5.59007E-13,CCDC134,1,orangered3
chr1:44513774-44514274,chr1,44513774,44514274,6.34102E-13,KLF17,1,orangered3
chr1:224895733-224896233,chr1,224895733,224896233,6.73391E-13,CNIH3,1,orangered3
chr13:31421955-31422455,chr13,31421955,31422455,7.06832E-13,USPL1,1,orangered3
chr7:90446015-90446515,chr7,90446015,90446515,7.10629E-13,"CLDN12, LOC102723899",2,orangered3
chr2:87754663-87755163,chr2,87754663,87755163,7.36739E-13,CYTOR,1,orangered3
chr2:112251290-112251790,chr2,112251290,112251790,7.37726E-13,MIR4435-2HG,1,orangered3
chr22:41959382-41959882,chr22,41959382,41959882,7.72829E-13,CCDC134,1,orangered3
chr1:212407926-212408426,chr1,212407926,212408426,7.87964E-13,LINC02608,1,orangered3
chr10:99334367-99334867,chr10,99334367,99334867,7.94376E-13,PGAM1,1,orangered3
chr9:137427883-137428383,chr9,137427883,137428383,8.0995E-13,COL5A1,1,orangered3
chr12:66285670-66286170,chr12,66285670,66286170,8.39083E-13,HMGA2,1,orangered3
chr2:133555097-133555597,chr2,133555097,133555597,8.54543E-13,LYPD1,1,orangered3
chr13:111607458-111607958,chr13,111607458,111607958,8.61873E-13,RAB20,1,orangered3
chr7:130928949-130929449,chr7,130928949,130929449,8.88331E-13,MKLN1-AS,1,orangered3
chr9:131674738-131675238,chr9,131674738,131675238,8.90451E-13,"PTPA, IER5L",2,orangered3
chr22:46934598-46935098,chr22,46934598,46935098,8.92005E-13,CELSR1,1,orangered3
chr3:152454762-152455262,chr3,152454762,152455262,8.99947E-13,RAP2B,1,orangered3
chr16:2384040-2384540,chr16,2384040,2384540,9.09011E-13,"NPW, PKD1",2,orangered3
chr8:62220729-62221229,chr8,62220729,62221229,9.52677E-13,ASPH,1,orangered3
chr10:112170147-112170647,chr10,112170147,112170647,9.65924E-13,DUSP5,1,orangered3
chr14:100224744-100225244,chr14,100224744,100225244,9.88271E-13,"YY1, CCNK",2,orangered3
chr17:1974939-1975439,chr17,1974939,1975439,9.92318E-13,HIC1,1,orangered3
chr12:66050558-66051058,chr12,66050558,66051058,9.93362E-13,HMGA2,1,orangered3
chr8:74480350-74480850,chr8,74480350,74480850,1.05096E-12,RDH10,1,orangered3
chr10:127661773-127662273,chr10,127661773,127662273,1.10321E-12,FANK1-AS1,1,orangered3
chr13:46870146-46870646,chr13,46870146,46870646,1.12226E-12,"RUBCNL, LRCH1",2,orangered3
chr13:31151392-31151892,chr13,31151392,31151892,1.15767E-12,USPL1,1,orangered3
chr1:87254236-87254736,chr1,87254236,87254736,1.21893E-12,HS2ST1,1,orangered3
chr21:36355927-36356427,chr21,36355927,36356427,1.22563E-12,LINC01426,1,orangered3
chr1:37404392-37404892,chr1,37404392,37404892,1.23258E-12,GRIK3,1,orangered3
chr19:46072115-46072615,chr19,46072115,46072615,1.25701E-12,"GEMIN7, PPP1R37, OPA3, QPCTL",4,orangered3
chr1:32071400-32071900,chr1,32071400,32071900,1.29527E-12,SPOCD1,1,orangered3
chr12:56240733-56241233,chr12,56240733,56241233,1.30612E-12,"CD63, MMP19",2,orangered3
chr22:27509063-27509563,chr22,27509063,27509563,1.30975E-12,LINC01638,1,orangered3
chr14:72886506-72887006,chr14,72886506,72887006,1.31364E-12,"RGS6, DPF3",2,orangered3
chr20:48841031-48841531,chr20,48841031,48841531,1.33395E-12,CEBPB,1,orangered3
chr11:122552401-122552901,chr11,122552401,122552901,1.38197E-12,UBASH3B,1,orangered3
chr3:184037746-184038246,chr3,184037746,184038246,1.42186E-12,EIF4G1,1,orangered3
chr5:14268333-14268833,chr5,14268333,14268833,1.42753E-12,TRIO,1,orangered3
chr8:126354444-126354944,chr8,126354444,126354944,1.46281E-12,TRIB1,1,orangered3
chr8:12583974-12584474,chr8,12583974,12584474,1.46973E-12,MIR3926-2,1,orangered3
chr8:122905856-122906356,chr8,122905856,122906356,1.5221E-12,HAS2,1,orangered3
chr19:8428679-8429179,chr19,8428679,8429179,1.53317E-12,ANGPTL4,1,orangered3
chr13:31551817-31552317,chr13,31551817,31552317,1.58726E-12,USPL1,1,orangered3
chr18:9073579-9074079,chr18,9073579,9074079,1.6052E-12,TWSG1,1,orangered3
chr15:89166277-89166777,chr15,89166277,89166777,1.62827E-12,AEN,1,orangered3
chr7:22686973-22687473,chr7,22686973,22687473,1.63558E-12,FAM126A,1,orangered3
chr17:2135524-2136024,chr17,2135524,2136024,1.63666E-12,LOC101927839,1,orangered3
chr11:85429978-85430478,chr11,85429978,85430478,1.64896E-12,SYTL2,1,orangered3
chr3:11610034-11610534,chr3,11610034,11610534,1.6961E-12,VGLL4,1,orangered3
chr14:69181585-69182085,chr14,69181585,69182085,1.77301E-12,ACTN1,1,orangered3
chr8:59222684-59223184,chr8,59222684,59223184,1.78695E-12,SDCBP,1,orangered3
chr9:107815345-107815845,chr9,107815345,107815845,1.81474E-12,ABCA1,1,orangered3
chr1:8298257-8298757,chr1,8298257,8298757,1.83453E-12,ERRFI1,1,orangered3
chr2:26199897-26200397,chr2,26199897,26200397,1.93878E-12,RAB10,1,orangered3
chr2:220271530-220272030,chr2,220271530,220272030,2.14455E-12,"NHEJ1, CHPF",2,orangered3
chr13:80614693-80615193,chr13,80614693,80615193,2.20859E-12,SPRY2,1,orangered3
chr2:46378150-46378650,chr2,46378150,46378650,2.30056E-12,EPAS1,1,orangered3
chr19:34850022-34850522,chr19,34850022,34850522,2.37129E-12,GPI,1,orangered3
chr19:57780832-57781332,chr19,57780832,57781332,2.41316E-12,"ZNF805, ZNF543, ZNF304, ZNF548, ZNF772, ZNF419, ZNF773, ZNF416, ZNF134, ZNF211, ZNF671",11,orangered3
chr5:14491555-14492055,chr5,14491555,14492055,2.44954E-12,TRIO,1,orangered3
chr18:3595363-3595863,chr18,3595363,3595863,2.44958E-12,"MYL12B, TGIF1",2,orangered3
chr11:130481675-130482175,chr11,130481675,130482175,2.51646E-12,ADAMTS15,1,orangered3
chr11:8790052-8790552,chr11,8790052,8790552,2.55217E-12,LOC102724784,1,orangered3
chr7:100626638-100627138,chr7,100626638,100627138,2.6378E-12,"SERPINE1, PLOD3",2,orangered3
chr16:762667-763167,chr16,762667,763167,2.64618E-12,NME4,1,orangered3
chr17:76371761-76372261,chr17,76371761,76372261,2.69983E-12,"LINC01993, SOCS3, LOC101928674",3,orangered3
chr12:32204370-32204870,chr12,32204370,32204870,2.73793E-12,BICD1,1,orangered3
chr5:90576187-90576687,chr5,90576187,90576687,2.94553E-12,LUCAT1,1,orangered3
chr7:73693868-73694368,chr7,73693868,73694368,2.95697E-12,LIMK1,1,orangered3
chr1:183029448-183029948,chr1,183029448,183029948,3.08464E-12,LAMC1,1,orangered3
chr7:77012645-77013145,chr7,77012645,77013145,3.08653E-12,"PTPN12, TMEM60",2,orangered3
chr19:41221559-41222059,chr19,41221559,41222059,3.11494E-12,COQ8B,1,orangered3
chr22:30608514-30609014,chr22,30608514,30609014,3.16114E-12,"LIF, MTFP1",2,orangered3
chr15:63513536-63514036,chr15,63513536,63514036,3.39666E-12,"RAB8B, CA12",2,orangered3
chr17:76352471-76352971,chr17,76352471,76352971,3.41355E-12,"LINC01993, SOCS3, LOC101928674",3,orangered3
chr16:16040028-16040528,chr16,16040028,16040528,3.58507E-12,ABCC1,1,orangered3
chr7:44224078-44224578,chr7,44224078,44224578,3.58783E-12,YKT6,1,orangered3
chr15:74709446-74709946,chr15,74709446,74709946,3.61693E-12,"STRA6, SEMA7A, MPI",3,orangered3
chr11:74041451-74041951,chr11,74041451,74041951,3.69659E-12,P4HA3,1,orangered3
chr1:8157447-8157947,chr1,8157447,8157947,3.73009E-12,"PARK7, ERRFI1",2,orangered3
chr13:20748918-20749418,chr13,20748918,20749418,4.08285E-12,GJA3,1,orangered3
chr20:32391735-32392235,chr20,32391735,32392235,4.10637E-12,"ASIP, AHCY",2,orangered3
chr19:55998861-55999361,chr19,55998861,55999361,4.14008E-12,SSC5D,1,orangered3
chr6:14001763-14002263,chr6,14001763,14002263,4.17969E-12,RANBP9,1,orangered3
chr3:185374199-185374699,chr3,185374199,185374699,4.22484E-12,"MAP3K13, TMEM41A, IGF2BP2, ETV5",4,orangered3
chr16:29615995-29616495,chr16,29615995,29616495,4.22819E-12,ALDOA,1,orangered3
chr10:101426741-101427241,chr10,101426741,101427241,4.29739E-12,"ENTPD7, DNMBP",2,orangered3
chr18:261319-261819,chr18,261319,261819,4.33551E-12,COLEC12,1,orangered3
chr13:42928445-42928945,chr13,42928445,42928945,4.34991E-12,AKAP11,1,orangered3
chr9:95860792-95861292,chr9,95860792,95861292,4.5241E-12,"BICD2, CARD19, FAM120AOS, FAM120A",4,orangered3
chr8:23309942-23310442,chr8,23309942,23310442,4.57568E-12,TNFRSF10B,1,orangered3
chr20:17539252-17539752,chr20,17539252,17539752,4.57932E-12,BFSP1,1,orangered3
chr17:76370784-76371284,chr17,76370784,76371284,4.62093E-12,"LINC01993, SOCS3, LOC101928674",3,orangered3
chr14:72527605-72528105,chr14,72527605,72528105,4.66385E-12,RGS6,1,orangered3
chr1:27449087-27449587,chr1,27449087,27449587,4.69608E-12,TRNP1,1,orangered3
chr8:29532973-29533473,chr8,29532973,29533473,4.77678E-12,DUSP4,1,orangered3
chr14:58299953-58300453,chr14,58299953,58300453,5.25033E-12,NAA30,1,orangered3
chr7:73758062-73758562,chr7,73758062,73758562,5.26343E-12,LIMK1,1,orangered3
chr2:11343581-11344081,chr2,11343581,11344081,5.37223E-12,KCNF1,1,orangered3
chr10:112260931-112261431,chr10,112260931,112261431,5.43256E-12,DUSP5,1,orangered3
chr1:119506097-119506597,chr1,119506097,119506597,5.7031E-12,WARS2,1,orangered3
chr2:112252471-112252971,chr2,112252471,112252971,5.97068E-12,MIR4435-2HG,1,orangered3
chr2:33090522-33091022,chr2,33090522,33091022,6.14123E-12,TTC27,1,orangered3
chr19:3580027-3580527,chr19,3580027,3580527,6.17737E-12,MFSD12,1,orangered3
chr4:157898520-157899020,chr4,157898520,157899020,6.30125E-12,PDGFC,1,orangered3
chr10:99301905-99302405,chr10,99301905,99302405,6.44216E-12,PGAM1,1,orangered3
chr6:29960549-29961049,chr6,29960549,29961049,6.46009E-12,HLA-G,1,orangered3
chr1:109739901-109740401,chr1,109739901,109740401,6.52693E-12,GNAI3,1,orangered3
chr16:18754076-18754576,chr16,18754076,18754576,6.66021E-12,SMG1,1,orangered3
chr1:19406235-19406735,chr1,19406235,19406735,6.79588E-12,IFFO2,1,orangered3
chr7:130922961-130923461,chr7,130922961,130923461,6.8595E-12,"MKLN1, MKLN1-AS",2,orangered3
chr8:38895554-38896054,chr8,38895554,38896054,6.93986E-12,TM2D2,1,orangered3
chr2:65547124-65547624,chr2,65547124,65547624,7.12025E-12,SPRED2,1,orangered3
chr10:129374228-129374728,chr10,129374228,129374728,7.17997E-12,INSYN2A,1,orangered3
chr9:136801634-136802134,chr9,136801634,136802134,7.25297E-12,VAV2,1,orangered3
chr3:12197269-12197769,chr3,12197269,12197769,7.33303E-12,TIMP4,1,orangered3
chr17:39558122-39558622,chr17,39558122,39558622,7.44597E-12,LOC100505782,1,orangered3
chr12:103864461-103864961,chr12,103864461,103864961,7.48178E-12,HSP90B1,1,orangered3
